meting	n	prev	prev_se
2003.0	1717	0.33313919627256844	0.011378154348353799
2005.0	1430	0.2748251748251748	0.011809554140802246
2007.0	1549	0.18657198192382182	0.009901415785175852
2009.0	1539	0.12085769980506822	0.008311675566159792
2011.0	1664	0.1063701923076923	0.007560363397749037
2013.0	1264	0.04588607594936709	0.005887608199551829
2015.0	1819	0.052776250687190766	0.005243830155839984
2017.0	1699	0.04885226603884638	0.005231153965895996
2019.0	1402	0.052781740370898715	0.0059737606268874125
