meting	n	prev	prev_se
2003.0	2506	0.3559457302474062	0.009566415959897583
2005.0	1967	0.29334011184544995	0.010268315166177834
2007.0	2273	0.2067751869775627	0.00849656126143672
2009.0	2051	0.14188200877620674	0.00770655420648428
2011.0	2452	0.12479608482871125	0.006675494625460175
2013.0	1909	0.0644316396018858	0.0056208004784834295
2015.0	2547	0.06281900274833137	0.004808704125445727
2017.0	2522	0.057097541633624106	0.004621209592003502
2019.0	2159	0.06855025474756832	0.005439494356237045
